continent,year,change
Asia,1961,0.049
Asia,1962,-0.008
Asia,1963,0.266
Asia,1964,-0.166
Asia,1965,-0.033
Asia,1966,0.326
Asia,1967,-0.308
Asia,1968,-0.337
Asia,1969,-0.017
Asia,1970,0.073
Asia,1971,-0.122
Asia,1972,-0.164
Asia,1973,0.251
Asia,1974,-0.132
Asia,1975,0.018
Asia,1976,-0.328
Asia,1977,0.101
Asia,1978,0.162
Asia,1979,0.448
Asia,1980,0.28
Asia,1981,0.207
Asia,1982,0.109
Asia,1983,-0.013
Asia,1984,-0.118
Asia,1985,0.016
Asia,1986,0.056
Asia,1987,0.406
Asia,1988,0.423
Asia,1989,0.259
Asia,1990,0.527
Asia,1991,0.39
Asia,1992,-0.059
Asia,1993,0.073
Asia,1994,0.522
Asia,1995,0.616
Asia,1996,0.173
Asia,1997,0.614
Asia,1998,1.047
Asia,1999,1.091
Asia,2000,0.68
Asia,2001,1.019
Asia,2002,1.16
Asia,2003,0.644
Asia,2004,1.088
Asia,2005,0.862
Asia,2006,1.101
Asia,2007,1.182
Asia,2008,0.873
Asia,2009,1.075
Asia,2010,1.251
Asia,2011,0.701
Asia,2012,0.693
Asia,2013,1.054
Asia,2014,0.909
Asia,2015,1.284
Asia,2016,1.457
Asia,2017,1.464
Asia,2018,1.343
Asia,2019,1.369
Africa,1961,-0.017
Africa,1962,-0.04
Africa,1963,0.064
Africa,1964,-0.153
Africa,1965,-0.197
Africa,1966,0.138
Africa,1967,-0.209
Africa,1968,-0.218
Africa,1969,0.354
Africa,1970,0.221
Africa,1971,-0.208
Africa,1972,-0.002
Africa,1973,0.377
Africa,1974,-0.237
Africa,1975,-0.23
Africa,1976,-0.26
Africa,1977,0.232
Africa,1978,0.077
Africa,1979,0.444
Africa,1980,0.366
Africa,1981,0.104
Africa,1982,0.217
Africa,1983,0.408
Africa,1984,0.333
Africa,1985,0.301
Africa,1986,0.283
Africa,1987,0.671
Africa,1988,0.608
Africa,1989,-0.019
Africa,1990,0.574
Africa,1991,0.386
Africa,1992,0.112
Africa,1993,0.407
Africa,1994,0.418
Africa,1995,0.58
Africa,1996,0.551
Africa,1997,0.588
Africa,1998,0.961
Africa,1999,0.666
Africa,2000,0.496
Africa,2001,0.677
Africa,2002,0.894
Africa,2003,0.999
Africa,2004,0.825
Africa,2005,1.1
Africa,2006,0.94
Africa,2007,0.818
Africa,2008,0.754
Africa,2009,1.011
Africa,2010,1.541
Africa,2011,0.949
Africa,2012,0.781
Africa,2013,1.014
Africa,2014,1.036
Africa,2015,1.208
Africa,2016,1.442
Africa,2017,1.224
Africa,2018,1.222
Africa,2019,1.415
Europe,1961,0.874
Europe,1962,0.3
Europe,1963,0.103
Europe,1964,-0.523
Europe,1965,-0.43
Europe,1966,0.724
Europe,1967,0.174
Europe,1968,0.048
Europe,1969,-1.01
Europe,1970,0.189
Europe,1971,0.264
Europe,1972,-0.148
Europe,1973,0.173
Europe,1974,0.02
Europe,1975,0.838
Europe,1976,-0.559
Europe,1977,0.189
Europe,1978,-0.166
Europe,1979,0.138
Europe,1980,-0.068
Europe,1981,0.662
Europe,1982,0.111
Europe,1983,0.934
Europe,1984,0.271
Europe,1985,-0.605
Europe,1986,0.259
Europe,1987,-0.562
Europe,1988,0.494
Europe,1989,1.035
Europe,1990,1.257
Europe,1991,0.597
Europe,1992,0.472
Europe,1993,0.75
Europe,1994,0.698
Europe,1995,1.83
Europe,1996,0.57
Europe,1997,1.096
Europe,1998,0.187
Europe,1999,0.588
Europe,2000,1.342
Europe,2001,0.953
Europe,2002,1.505
Europe,2003,0.972
Europe,2004,1.282
Europe,2005,1.537
Europe,2006,0.678
Europe,2007,2.31
Europe,2008,2.024
Europe,2009,1.239
Europe,2010,0.817
Europe,2011,1.548
Europe,2012,1.789
Europe,2013,1.118
Europe,2014,1.807
