year,consumption,source
1965,0,Biofuel
1966,0,Biofuel
1967,0,Biofuel
1968,0,Biofuel
1969,0,Biofuel
1970,0,Biofuel
1971,0,Biofuel
1972,0,Biofuel
1973,0,Biofuel
1974,0,Biofuel
1975,0,Biofuel
1976,0,Biofuel
1977,0,Biofuel
1978,0,Biofuel
1979,0,Biofuel
1980,0,Biofuel
1981,0,Biofuel
1982,0,Biofuel
1983,0,Biofuel
1984,0,Biofuel
1985,0,Biofuel
1986,0,Biofuel
1987,0,Biofuel
1988,0,Biofuel
1989,0,Biofuel
1990,206.341,Biofuel
1991,220.732,Biofuel
1992,223.086,Biofuel
1993,239.11,Biofuel
1994,261.323,Biofuel
1995,276.355,Biofuel
1996,257.986,Biofuel
1997,275.4,Biofuel
1998,280.804,Biofuel
1999,286.293,Biofuel
2000,287.42,Biofuel
2001,290.823,Biofuel
2002,344.005,Biofuel
2003,402.313,Biofuel
2004,494.525,Biofuel
2005,602.851,Biofuel
2006,790.246,Biofuel
2007,1038.455,Biofuel
2008,1419.84,Biofuel
2009,1626.478,Biofuel
2010,1873.12,Biofuel
2011,1971.373,Biofuel
2012,2021.363,Biofuel
2013,2132.601,Biofuel
2014,2265.629,Biofuel
2015,2339.746,Biofuel
2016,2441.685,Biofuel
2017,2506.907,Biofuel
2018,2654.162,Biofuel
2019,2774.36,Biofuel
1965,48420.575,Coal
1966,48972.322,Coal
1967,48182.466,Coal
1968,48903.479,Coal
1969,50396.246,Coal
1970,51175.862,Coal
1971,50897.919,Coal
1972,51463.037,Coal
1973,53003.593,Coal
1974,53046.199,Coal
1975,54073.658,Coal
1976,56065.504,Coal
1977,57723.927,Coal
1978,58373.74,Coal
1979,61090.641,Coal
1980,62572.854,Coal
1981,63449.069,Coal
1982,64153.325,Coal
1983,66135.069,Coal
1984,68998.58,Coal
1985,71958.547,Coal
1986,72768.152,Coal
1987,75630.855,Coal
1988,77893.946,Coal
1989,78640.426,Coal
1990,77684.991,Coal
1991,76928.319,Coal
1992,76649.875,Coal
1993,77025.387,Coal
1994,77320.685,Coal
1995,77863.087,Coal
1996,79716.433,Coal
1997,79580.503,Coal
1998,79078.733,Coal
1999,79565.74,Coal
2000,82251.941,Coal
2001,83557.515,Coal
2002,86833.927,Coal
2003,94489.526,Coal
2004,100993.025,Coal
2005,108512.356,Coal
2006,114212.022,Coal
2007,120670.875,Coal
2008,122311.44,Coal
2009,120445.894,Coal
2010,125991.702,Coal
2011,132054.237,Coal
2012,132556.034,Coal
2013,134980.4,Coal
2014,134863.308,Coal
2015,131532.521,Coal
2016,129586.918,Coal
2017,130078.524,Coal
2018,132328.381,Coal
2019,131547.648,Coal
1965,100965.63,Fossil Fuel
1966,105982.207,Fossil Fuel
1967,109715.909,Fossil Fuel
1968,116740.254,Fossil Fuel
1969,124677.986,Fossil Fuel
1970,132200.328,Fossil Fuel
1971,136640.162,Fossil Fuel
1972,143733.572,Fossil Fuel
1973,151809.089,Fossil Fuel
1974,149931,Fossil Fuel
1975,148566.911,Fossil Fuel
1976,157273.478,Fossil Fuel
1977,161750.863,Fossil Fuel
1978,165758.058,Fossil Fuel
1979,171107.198,Fossil Fuel
1980,168044.55,Fossil Fuel
1981,164877.369,Fossil Fuel
1982,161605.55,Fossil Fuel
1983,162393.946,Fossil Fuel
1984,169126.042,Fossil Fuel
1985,188695.179,Fossil Fuel
1986,191852.492,Fossil Fuel
1987,197951.765,Fossil Fuel
1988,204424.763,Fossil Fuel
1989,208144.844,Fossil Fuel
1990,209774.874,Fossil Fuel
1991,209778.615,Fossil Fuel
1992,210923.754,Fossil Fuel
1993,210974.171,Fossil Fuel
1994,213271.915,Fossil Fuel
1995,216765.172,Fossil Fuel
1996,223342.437,Fossil Fuel
1997,225152.41,Fossil Fuel
1998,226399.176,Fossil Fuel
1999,229821.421,Fossil Fuel
2000,235361.536,Fossil Fuel
2001,237362.08,Fossil Fuel
2002,241962.82,Fossil Fuel
2003,251144.768,Fossil Fuel
2004,261546.111,Fossil Fuel
2005,269271.598,Fossil Fuel
2006,275463.084,Fossil Fuel
2007,283640.683,Fossil Fuel
2008,284395.041,Fossil Fuel
2009,277258.089,Fossil Fuel
2010,289711.302,Fossil Fuel
2011,295511.654,Fossil Fuel
2012,297955.682,Fossil Fuel
2013,302007.026,Fossil Fuel
2014,302328.452,Fossil Fuel
2015,303183.949,Fossil Fuel
2016,305687.937,Fossil Fuel
2017,309499.501,Fossil Fuel
2018,316649.914,Fossil Fuel
2019,317728.072,Fossil Fuel
1965,18911.413,Gas
1966,20606.398,Gas
1967,22122.135,Gas
1968,24133.015,Gas
1969,26500.275,Gas
1970,28844.401,Gas
1971,30876.609,Gas
1972,32584.105,Gas
1973,34130.191,Gas
1974,34968.771,Gas
1975,34983.253,Gas
1976,37065.217,Gas
1977,38281.916,Gas
1978,39886.284,Gas
1979,42359.654,Gas
1980,42714.002,Gas
1981,43185.391,Gas
1982,43406.333,Gas
1983,44108.414,Gas
1984,47704.688,Gas
1985,48782.726,Gas
1986,49259.673,Gas
1987,51841.84,Gas
1988,54262.862,Gas
1989,56611.653,Gas
1990,58453.312,Gas
1991,59928.191,Gas
1992,60200.429,Gas
1993,60807.31,Gas
1994,61180.025,Gas
1995,63325.694,Gas
1996,66490.376,Gas
1997,66103.062,Gas
1998,67313.758,Gas
1999,69227.942,Gas
2000,71999.664,Gas
2001,72992.842,Gas
2002,75158.697,Gas
2003,77256.034,Gas
2004,80206.718,Gas
2005,82391.754,Gas
2006,84526.955,Gas
2007,87971.095,Gas
2008,90072.995,Gas
2009,88233.09,Gas
2010,94820.302,Gas
2011,97112.983,Gas
2012,99660.092,Gas
2013,101298.419,Gas
2014,101982.835,Gas
2015,104340.362,Gas
2016,106770.112,Gas
2017,109756.923,Gas
2018,115549.953,Gas
2019,117877.402,Gas
1965,6593.429,Hydropower
1966,6998.546,Hydropower
1967,7211.871,Hydropower
1968,7511.748,Hydropower
1969,7925.992,Hydropower
1970,8254.715,Hydropower
1971,8607.93,Hydropower
1972,9045.589,Hydropower
1973,9204.219,Hydropower
1974,10086.432,Hydropower
1975,10196.187,Hydropower
1976,10038.112,Hydropower
1977,10335.853,Hydropower
1978,11147.753,Hydropower
1979,11671.073,Hydropower
1980,11792.213,Hydropower
1981,12036.242,Hydropower
1982,12347.241,Hydropower
1983,12872.384,Hydropower
1984,13193.03,Hydropower
1985,13880.548,Hydropower
1986,13972.437,Hydropower
1987,14113.878,Hydropower
1988,14459.186,Hydropower
1989,14291.454,Hydropower
